company_id,company_name,cluster,cluster_name,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,fcf_cagr_5yr,composite_quality_score,cluster_distance
ABB,Abbott India Ltd,1,Growth,20.533424517011454,24.84185330825782,32.46823465801568,0.022438496891051634,141.75,1.1263238975544,9.716101277290168,21.69314043381163,21.65851677781967,,91.2284,1.4666579976733507
ADANIENSOL,Adani Energy Solutions Ltd,4,Value / Lower Quality,7.201782380923707,34.38911302462817,9.461276797721698,2.93252116130053,2.284784965666787,0.2836960606785336,17.85124994851739,16.42972571572392,14.869835499703509,,52.2811,1.4545514771048562
ADANIENT,Adani Enterprises Ltd,1,Growth,3.458790097592848,11.799296833677312,8.534650424813185,1.671358378544375,2.7492864983534577,0.6004321671876751,19.015414753081238,45.81058899665285,31.95079107728942,,55.1309,2.5983419405256845
ADANIGREEN,Adani Green Energy Ltd,4,Value / Lower Quality,13.665943600867678,79.3709327548807,12.812690665039659,6.595281675818589,1.713943268078306,0.10467043571055559,34.976172926382844,,,,44.0855,3.068836760371652
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",4,Value / Lower Quality,30.339560480700833,58.36172363445772,15.3548827162833,0.9373223691689719,5.949506037321624,0.22830109659056916,16.307918725385086,9.925591786693033,8.73483945710749,37.789734468642024,79.2677,1.7693472952289648
ADANIPOWER,Adani Power Ltd,1,Growth,41.36759945184802,36.20186292228556,48.27674122146251,0.8023177656738903,8.297225501770956,0.5472399439185297,16.086096410440966,,,30.711180607907206,77.2362,1.3691095872729655
AMBUJACEM,Ambuja Cements Ltd,1,Growth,14.288299155609169,19.300361881785282,11.428984947896565,0.01686125048243921,28.264492753623188,0.5081135747230352,4.952158000173124,9.769081298428105,7.781806771272581,,66.9535,0.9523180784572383
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",1,Growth,4.905818773282963,12.56099480560365,13.480392156862745,0.7688869665513264,5.565701559020044,1.1383944570541153,14.660042602193135,36.13077689773863,29.95061094416296,14.572241252408503,74.5684,1.6401354061135822
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",1,Growth,15.658543456824905,21.3692069305536,29.677488252883382,0.1321016659547202,41.00487804878049,1.187084044011906,13.029660349453076,20.277362101955056,20.973552688431262,18.035870453634505,91.0374,1.4601973426994186
ATGL,Adani Total Gas Ltd,1,Growth,,,,,,,,,,,,0.3416020974281108
AXISBANK,Axis Bank Ltd,4,Value / Lower Quality,22.73130411725443,34.69264599658038,15.832712405189048,8.249122739980766,1.691203992514036,0.0720367478374617,14.743587120514379,39.67228711897934,35.09600385206135,,63.9792,2.5180793127118304
